Using configfile tools/sidid/sidid.cfg
--- SIDId engine classification for HVSC #85 (hvsc85/).
--- generator: tools/sidid (upstream cadaver/sidid @ ee92b8d96d9dda6d06d24674740577ddcbfe4f79 2026-07-14), SIDId V1.09,
---   PATCHED to not truncate paths at 56 chars -- see tools/sidid_no_truncate.patch.
DEMOS/A-F/Circus.sid                                     Music_Assembler
DEMOS/A-F/City_Night.sid                                 GoatTracker_V2.x
DEMOS/A-F/City_of_New_Orleans.sid                        MusicShop
DEMOS/A-F/Clockbeat.sid                                  SidFactory_II/Laxity
DEMOS/A-F/Clowns_Fart.sid                                GoatTracker_V2.x
DEMOS/A-F/Coffin_Dance.sid                               DefleMask_v12
DEMOS/A-F/Cologne.sid                                    Soundmonitor
DEMOS/A-F/Colourbar_Designer_tune_2.sid                  MoN/FutureComposer
DEMOS/A-F/Coma_1.sid                                     Music_Assembler
DEMOS/A-F/Come_Along.sid                                 OdinTracker
DEMOS/A-F/Come_Together.sid                              Soundmonitor
DEMOS/A-F/Commodorella_Eduskuntaan.sid                   SidFactory_II/Laxity
DEMOS/A-F/Compomusic.sid                                 MoN/FutureComposer
DEMOS/A-F/Composing.sid                                  Soundmonitor
DEMOS/A-F/Composti.sid                                   DMC
DEMOS/A-F/Compotune.sid                                  Ed/Wrath_Digi
DEMOS/A-F/Compozak_1.sid                                 Soundmonitor
DEMOS/A-F/Compozak_2.sid                                 Soundmonitor
DEMOS/A-F/Compunet_Linker.sid                            Electrosound
DEMOS/A-F/Computer.sid                                   Soundmonitor
DEMOS/A-F/Confusion.sid                                  DMC
DEMOS/A-F/Contact_Dutch.sid                              Music_Assembler
DEMOS/A-F/Contact_Us_Again.sid                           Michael_Winterberg
DEMOS/A-F/Contact_Us_tune_2.sid                          Soundmonitor
DEMOS/A-F/Cool_Muzak.sid                                 Soundmonitor
DEMOS/A-F/Coolapse_tune_1.sid                            MoN/FutureComposer
DEMOS/A-F/Coop_Demo.sid                                  Soundmonitor
DEMOS/A-F/Copbusted.sid                                  Soundmonitor
DEMOS/A-F/Copy-Party_Demo_tune_1.sid                     Soundmonitor
DEMOS/A-F/Copy-Party_Demo_tune_2.sid                     Soundmonitor
DEMOS/A-F/Crackers_Demo_3.sid                            MoN/FutureComposer
DEMOS/A-F/Crazy_Comets_Remix.sid                         Rob_Hubbard
DEMOS/A-F/Crazy_Train.sid                                Master_Composer
DEMOS/A-F/Crazy_World_3_digipart.sid                     Cyberbrain_Digi
